,0
"#Available_Scooters_(27,_18)",24.0
"#Available_Scooters_(27,_19)",24.0
"#Available_Scooters_(27,_2)",15.0
"#Available_Scooters_(27,_3)",4.0
"#Available_Scooters_(27,_4)",3.0
"#Available_Scooters_(27,_5)",0.0
"#Available_Scooters_(27,_6)",0.0
"#Available_Scooters_(27,_7)",0.0
"#Available_Scooters_(27,_8)",0.0
"#Available_Scooters_(27,_9)",0.0
"#Available_Scooters_(28,_0)",16.0
"#Available_Scooters_(28,_1)",16.0
"#Available_Scooters_(28,_10)",2.0
"#Available_Scooters_(28,_11)",4.0
"#Available_Scooters_(28,_12)",6.0
"#Available_Scooters_(28,_13)",10.0
"#Available_Scooters_(28,_14)",16.0
"#Available_Scooters_(28,_15)",16.0
"#Available_Scooters_(28,_16)",16.0
"#Available_Scooters_(28,_17)",16.0
"#Available_Scooters_(28,_18)",16.0
"#Available_Scooters_(28,_19)",16.0
"#Available_Scooters_(28,_2)",12.0
"#Available_Scooters_(28,_3)",6.0
"#Available_Scooters_(28,_4)",0.0
"#Available_Scooters_(28,_5)",0.0
"#Available_Scooters_(28,_6)",0.0
"#Available_Scooters_(28,_7)",0.0
"#Available_Scooters_(28,_8)",0.0
"#Available_Scooters_(28,_9)",0.0
"#Available_Scooters_(29,_0)",3.0
"#Available_Scooters_(29,_1)",19.0
"#Available_Scooters_(29,_10)",91.0
"#Available_Scooters_(29,_11)",81.0
"#Available_Scooters_(29,_12)",65.0
"#Available_Scooters_(29,_13)",27.0
"#Available_Scooters_(29,_14)",15.0
"#Available_Scooters_(29,_15)",8.0
"#Available_Scooters_(29,_16)",5.0
"#Available_Scooters_(29,_17)",5.0
"#Available_Scooters_(29,_18)",4.0
"#Available_Scooters_(29,_19)",3.0
"#Available_Scooters_(29,_2)",40.0
"#Available_Scooters_(29,_3)",71.0
"#Available_Scooters_(29,_4)",87.0
"#Available_Scooters_(29,_5)",97.0
"#Available_Scooters_(29,_6)",99.0
"#Available_Scooters_(29,_7)",100.0
"#Available_Scooters_(29,_8)",100.0
"#Available_Scooters_(29,_9)",100.0
"#Available_Scooters_(3,_0)",21.0
"#Available_Scooters_(3,_1)",19.0
"#Available_Scooters_(3,_10)",3.0
"#Available_Scooters_(3,_11)",7.0
"#Available_Scooters_(3,_12)",11.0
"#Available_Scooters_(3,_13)",17.0
"#Available_Scooters_(3,_14)",20.0
"#Available_Scooters_(3,_15)",21.0
"#Available_Scooters_(3,_16)",21.0
"#Available_Scooters_(3,_17)",21.0
"#Available_Scooters_(3,_18)",21.0
"#Available_Scooters_(3,_19)",21.0
"#Available_Scooters_(3,_2)",15.0
"#Available_Scooters_(3,_3)",7.0
"#Available_Scooters_(3,_4)",3.0
"#Available_Scooters_(3,_5)",1.0
"#Available_Scooters_(3,_6)",1.0
"#Available_Scooters_(3,_7)",1.0
"#Available_Scooters_(3,_8)",1.0
"#Available_Scooters_(3,_9)",1.0
"#Available_Scooters_(30,_0)",10.0
"#Available_Scooters_(30,_1)",11.0
"#Available_Scooters_(30,_10)",27.0
"#Available_Scooters_(30,_11)",24.0
"#Available_Scooters_(30,_12)",21.0
"#Available_Scooters_(30,_13)",20.0
"#Available_Scooters_(30,_14)",10.0
"#Available_Scooters_(30,_15)",9.0
"#Available_Scooters_(30,_16)",10.0
"#Available_Scooters_(30,_17)",10.0
"#Available_Scooters_(30,_18)",10.0
"#Available_Scooters_(30,_19)",10.0
"#Available_Scooters_(30,_2)",20.0
"#Available_Scooters_(30,_3)",23.0
"#Available_Scooters_(30,_4)",29.0
"#Available_Scooters_(30,_5)",29.0
"#Available_Scooters_(30,_6)",29.0
"#Available_Scooters_(30,_7)",29.0
"#Available_Scooters_(30,_8)",29.0
"#Available_Scooters_(30,_9)",29.0
"#Available_Scooters_(31,_0)",20.0
"#Available_Scooters_(31,_1)",17.0
"#Available_Scooters_(31,_10)",7.0
"#Available_Scooters_(31,_11)",10.0
"#Available_Scooters_(31,_12)",12.0
"#Available_Scooters_(31,_13)",15.0
"#Available_Scooters_(31,_14)",17.0
"#Available_Scooters_(31,_15)",20.0
"#Available_Scooters_(31,_16)",20.0
"#Available_Scooters_(31,_17)",20.0
"#Available_Scooters_(31,_18)",20.0
"#Available_Scooters_(31,_19)",20.0
"#Available_Scooters_(31,_2)",15.0
"#Available_Scooters_(31,_3)",11.0
"#Available_Scooters_(31,_4)",6.0
"#Available_Scooters_(31,_5)",3.0
"#Available_Scooters_(31,_6)",3.0
"#Available_Scooters_(31,_7)",3.0
"#Available_Scooters_(31,_8)",3.0
"#Available_Scooters_(31,_9)",3.0
"#Available_Scooters_(32,_0)",13.0
"#Available_Scooters_(32,_1)",11.0
"#Available_Scooters_(32,_10)",2.0
"#Available_Scooters_(32,_11)",5.0
"#Available_Scooters_(32,_12)",8.0
"#Available_Scooters_(32,_13)",8.0
"#Available_Scooters_(32,_14)",12.0
"#Available_Scooters_(32,_15)",13.0
"#Available_Scooters_(32,_16)",13.0
"#Available_Scooters_(32,_17)",13.0
"#Available_Scooters_(32,_18)",13.0
"#Available_Scooters_(32,_19)",13.0
"#Available_Scooters_(32,_2)",7.0
"#Available_Scooters_(32,_3)",5.0
