Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Marchmont West,2.719,6.46,10.828,3.303,7.397,5.346,1.744,4.628,5.555,3.897,4.397,5.15,3.06,3.038,0.764,1.543,2.566,4.623,6.089,5.682,4.433,3.669,2.613,3.921,5.238,5.668,5.357,4.671,3.376,3.1,3.574,7.597,7.833,8.856,12.864,1.386,1.936,4.356,4.669,6.909,6.64,3.317,3.695,4.936,5.364,1.874,2.489,4.599,5.013,4.912,5.361,4.163,2.652,2.761,4.997,3.604,5.86,6.324,3.144,4.151,4.184,3.212,4.284,0.574,,3.187,0.87,1.029,4.407,1.215,1.961,4.104,4.409,5.344,5.389,3.137,2.476,2.163,1.468,4.743,4.588,3.919,1.52,3.78,5.32,3.503,1.514,5.487,2.289,13.15,14.48,10.496,4.113,3.936,2.042,5.619,2.997,6.365,3.772,4.002,2.531,6.287,0.995,3.204,4.624,0.903,4.34,4.391,4.703,4.879,3.556
Meadowbank and Abbeyhill North,0.475,9.568,13.961,5.705,9.052,3.58,3.482,6.105,8.739,2.172,4.281,7.987,2.045,1.588,3.695,1.644,2.252,7.219,7.92,8.775,7.618,6.829,3.558,6.936,7.601,7.747,7.984,1.836,4.354,6.239,3.128,8.861,10.952,11.96,14.877,3.837,3.789,5.385,2.753,8.854,8.844,0.581,6.439,5.438,6.44,4.484,5.261,6.203,4.931,4.615,5.832,1.768,5.806,0.891,6.018,3.093,4.329,4.163,0.997,1.094,5.26,4.799,7.28,2.728,3.187,,2.348,4.17,5.05,4.342,5.142,6.064,1.983,6.27,8.409,5.084,1.685,2.543,2.302,3.743,2.641,1.493,1.917,6.884,8.257,1.447,4.314,2.984,2.775,14.539,15.883,13.026,1.081,0.75,4.99,6.81,5.952,8.878,1.134,6.784,2.992,9.243,3.161,4.225,1.956,2.991,3.525,2.86,5.261,2.593,1.322
Meadows and Southside,1.891,7.329,11.698,3.978,7.922,4.59,1.68,5.05,6.413,3.366,4.328,5.97,2.607,2.469,1.536,0.717,2.227,5.377,6.647,6.55,5.291,4.481,2.728,4.633,5.935,6.29,6.126,3.802,3.578,3.97,2.979,8.016,8.704,9.726,13.515,1.977,2.323,4.63,3.875,7.508,7.308,2.54,4.258,4.676,5.299,2.571,3.264,4.695,4.985,4.818,5.505,3.503,3.458,2.038,4.902,3.361,5.154,5.529,2.443,3.356,4.074,3.238,5.135,0.389,0.87,2.348,,1.896,4.166,1.994,2.798,4.322,3.558,5.622,6.248,3.654,1.957,1.974,0.813,4.1,4.049,3.06,0.993,4.548,6.163,2.864,2.27,4.644,1.782,13.643,14.982,11.263,3.246,3.098,2.866,5.982,3.833,7.112,3.044,4.801,2.456,7.136,1.025,3.012,3.925,1.171,4.071,3.94,4.848,4.273,2.698
Merchiston and Greenhill,3.697,5.434,9.809,2.562,6.769,6.319,2.373,4.195,4.579,4.584,4.582,4.163,3.712,3.792,0.577,2.54,3.154,3.725,5.436,4.654,3.463,2.822,2.731,3.277,4.412,4.937,4.432,5.698,3.305,2.078,4.455,7.1,6.81,7.831,12.052,1.123,1.825,4.131,5.668,6.191,5.837,4.242,3.323,5.505,5.724,1.233,1.612,4.809,5.125,5.103,5.254,4.965,1.859,3.654,5.4,4.02,6.795,7.32,4.007,5.084,4.633,3.578,3.264,1.592,1.029,4.17,1.896,,4.974,0.803,1.123,4.192,5.435,5.073,4.363,2.654,3.222,2.663,2.453,5.64,5.263,4.948,2.367,3.027,4.307,4.303,0.819,6.511,3.16,12.522,13.838,9.555,5.127,4.914,1.091,5.23,2.001,5.462,4.647,3.049,2.87,5.268,1.754,3.782,5.457,1.381,4.746,4.983,4.621,5.613,4.584
Moredun and Craigour,4.898,9.178,13.029,7.535,11.735,3.541,2.666,9.032,7.734,7.029,8.466,8.757,6.496,6.188,5.092,4.428,6.273,8.588,10.406,8.569,6.817,5.647,6.884,4.964,9.343,9.907,9.223,4.919,7.715,6.284,2.026,11.996,10.35,11.363,16.947,5.779,6.335,8.738,3.603,11.162,10.772,5.592,3.907,0.532,1.434,6.163,6.563,1.766,9.133,8.94,9.667,6.801,4.988,5.472,1.028,7.419,3.404,4.563,5.831,6.044,0.663,1.569,7.693,4.045,4.407,5.05,4.166,4.974,,4.302,4.902,2.24,4.247,9.731,8.573,7.523,5.844,6.117,3.42,2.371,7.617,4.212,5.054,5.32,8.717,6.343,5.754,4.697,2.481,17.491,18.81,14.186,5.063,5.501,6.008,10.025,6.732,10.273,6.176,7.832,6.616,9.534,3.412,1.205,6.999,5.216,8.078,7.704,9.008,7.635,4.045
Morningside,3.885,5.535,9.834,3.278,7.497,6.018,1.836,4.987,4.474,5.089,5.322,4.574,4.237,4.244,1.251,2.707,3.713,4.294,6.161,4.793,3.358,2.488,3.473,2.711,5.041,5.625,4.955,5.684,4.092,2.224,4.044,7.87,6.878,7.913,12.654,1.903,2.601,4.933,5.439,6.878,6.47,4.514,2.59,4.828,4.964,2.022,2.275,4.02,5.886,5.844,6.051,5.377,1.465,3.971,4.654,4.674,6.421,7.065,4.357,5.341,3.912,2.842,3.576,1.614,1.215,4.342,1.994,0.803,4.302,,0.853,3.391,5.334,5.876,4.606,3.447,3.677,3.262,2.295,5.226,5.779,4.884,2.734,2.568,4.633,4.717,1.613,6.371,2.782,13.237,14.545,10.016,5.2,5.091,1.714,6.025,2.459,6.001,4.983,3.557,3.543,5.55,1.419,3.139,5.839,1.938,5.409,5.552,5.414,6.085,4.521
Morningside and Craighouse,4.677,4.689,8.98,2.971,7.132,6.849,2.618,4.856,3.629,5.703,5.622,3.863,4.832,4.898,1.7,3.498,4.277,3.732,5.801,3.956,2.509,1.719,3.785,2.176,4.537,5.203,4.33,6.531,4.262,1.425,4.848,7.615,6.027,7.062,12.066,2.162,2.844,4.964,6.286,6.439,5.953,5.274,2.393,5.413,5.38,2.011,1.948,4.341,6.128,6.14,6.138,6.062,0.736,4.707,5.115,5.128,7.23,7.905,5.077,6.111,4.437,3.366,2.82,2.431,1.961,5.142,2.798,1.123,4.902,0.853,,3.633,6.187,5.845,3.802,3.361,4.327,3.786,3.148,6.023,6.384,5.735,3.434,1.904,3.868,5.398,1.681,7.224,3.609,12.82,14.109,9.306,6.03,5.892,1.42,5.898,1.865,5.379,5.713,2.952,3.975,4.756,2.27,3.797,6.544,2.498,5.848,6.105,5.534,6.727,5.371
Mortonhall and Anwickhill,5.756,7.261,10.895,6.581,10.764,5.609,2.68,8.373,5.73,7.647,8.5,7.241,6.926,6.749,4.549,4.874,6.537,7.314,9.432,6.74,4.944,3.786,6.706,2.924,8.146,8.834,7.841,6.522,7.417,4.798,3.703,11.219,8.333,9.319,15.546,5.25,5.925,8.31,5.475,10.064,9.544,6.499,1.837,2.543,1.914,5.411,5.554,0.77,9.116,9.014,9.398,7.645,3.415,6.175,1.806,7.648,5.59,6.684,6.582,7.151,1.577,1.29,6.15,4.026,4.104,6.064,4.322,4.192,2.24,3.391,3.633,,5.91,9.263,6.862,6.835,6.269,6.216,3.869,4.458,8.313,5.709,5.315,3.37,7.094,7.065,5.004,6.598,3.313,16.443,17.725,12.538,6.435,6.688,5,9.413,5.47,8.871,7.081,6.516,6.626,7.799,3.307,2.035,7.971,5.007,8.373,8.252,8.75,8.466,5.439
Mountcastle,2.283,10.84,15.167,7.403,10.977,1.674,3.857,8.024,9.797,4.047,6.258,9.521,4.027,3.568,5.089,3.05,4.213,8.871,9.806,10.074,8.687,7.724,5.466,7.568,9.347,9.577,9.631,0.681,6.293,7.482,2.261,10.828,12.199,13.231,16.764,5.427,5.542,7.342,0.903,10.726,10.653,2.491,6.825,4.476,5.674,6.063,6.797,5.798,6.902,6.575,7.815,3.453,6.733,2.863,5.275,5.071,2.447,2.185,2.962,2.387,4.681,4.64,8.691,3.844,4.409,1.983,3.558,5.435,4.247,5.334,6.187,5.91,,8.244,9.798,6.889,3.639,4.441,3.04,2.228,4.371,0.531,3.597,7.655,9.72,3.35,5.806,1.095,2.822,16.511,17.855,14.745,1.167,1.843,6.422,8.77,7.39,10.582,2.871,8.34,4.924,10.693,3.931,3.877,3.387,4.553,5.463,4.704,7.243,4.159,0.868
Muirhouse,5.972,7.111,10.946,3.089,3.013,9.746,7.084,1.133,7.441,4.599,2.264,4.824,4.263,4.726,4.745,5.613,4.034,3.739,2.35,6.457,6.726,6.943,2.924,7.827,3.287,2.719,4.165,8.067,2.054,5.431,8.539,2.601,8.253,8.97,8.863,4.034,3.408,0.994,8.928,3.216,3.669,5.833,8.237,10.255,10.697,3.875,3.976,9.857,1.923,2.303,0.861,5.383,6.41,5.382,10.337,3.299,10.441,10.429,5.345,6.346,9.528,8.535,5.095,5.691,5.344,6.27,5.622,5.073,9.731,5.876,5.845,9.263,8.244,,5.808,2.484,4.608,3.888,6.427,9.566,4.783,7.731,4.93,7.378,5.352,5.097,4.269,9.25,7.403,8.269,9.613,7.846,7.279,6.658,4.437,0.675,4.508,4.39,5.683,4.137,3.368,6.054,6.328,8.536,5.826,4.517,3.277,4.237,1.071,5.292,7.476
Murrayburn and Wester Hailes North,7.937,1.343,5.65,3.203,5.262,10.617,6.419,4.704,1.962,8.179,6.955,1.022,7.354,7.617,4.742,6.841,6.783,2.069,4.255,0.658,2.014,3.091,5.635,4.079,2.695,3.53,1.839,10.039,5.484,2.383,8.645,6.199,2.666,3.605,8.82,4.603,4.877,5.434,10.008,4.328,3.53,8.359,5.084,9.056,8.766,3.974,3.191,7.631,7.139,7.357,6.525,8.779,3.586,7.741,8.589,7.115,11.025,11.65,8.017,9.185,8.032,7.005,1.129,5.955,5.389,8.409,6.248,4.363,8.573,4.606,3.802,6.862,9.798,5.808,,4.115,7.104,6.271,6.801,9.823,8.755,9.306,6.5,3.557,0.497,8.164,4.095,10.874,7.387,10.242,11.411,5.676,9.426,9.125,3.421,5.43,2.458,2.491,8.638,1.866,6.138,0.962,6.002,7.546,9.309,5.42,7.658,8.309,6.191,9.218,8.944
Murrayfield and Ravelston,4.667,5.453,9.704,0.913,4.275,8.168,4.859,1.541,5.369,4.236,2.862,3.338,3.505,3.869,2.432,3.901,3,2.332,2.993,4.689,4.49,4.531,1.667,5.368,2.536,2.689,3.062,6.905,1.371,3.063,6.627,4.475,6.769,7.655,9.903,1.752,1.361,1.65,7.399,3.871,3.768,4.836,5.754,8.055,8.366,1.425,1.524,7.463,3.144,3.301,2.855,4.929,3.934,4.246,8.029,3.05,8.779,9.018,4.399,5.576,7.243,6.208,3.128,3.6,3.137,5.084,3.654,2.654,7.523,3.447,3.361,6.835,6.889,2.484,4.115,,3.474,2.573,4.455,7.754,4.74,6.358,3.295,4.94,3.772,4.393,1.836,7.973,5.382,10.017,11.351,7.955,6.165,5.684,1.954,2.578,2.176,3.841,4.945,2.248,2.248,4.692,4.128,6.318,5.456,2.484,3.549,4.256,2.324,5.231,6.037
New Town East and Gayfield,1.365,8.343,12.737,4.179,7.367,5.152,3.6,4.422,7.724,1.427,2.76,6.564,0.665,0.571,2.656,1.438,0.575,5.705,6.245,7.543,6.629,6.041,1.885,6.388,6.009,6.099,6.466,3.518,2.669,5.144,4.215,7.19,9.727,10.704,13.198,2.524,2.272,3.705,4.328,7.182,7.205,1.363,6.149,6.313,7.103,3.132,3.913,6.602,3.434,3.175,4.229,1.749,5.055,0.799,6.69,1.611,5.867,5.824,0.935,2.121,5.873,5.138,5.982,2.296,2.476,1.685,1.957,3.222,5.844,3.677,4.327,6.269,3.639,4.608,7.104,3.474,,0.902,2.482,5.096,2.117,3.123,0.982,6.211,6.89,1.092,3.08,4.667,3.364,12.873,14.218,11.429,2.745,2.215,3.77,5.132,4.672,7.308,1.536,5.363,1.309,7.871,2.982,4.789,2.256,1.847,2.234,1.984,3.628,2.408,2.872
New Town West,2.163,7.535,11.917,3.287,6.536,5.875,3.639,3.582,7.01,1.975,2.355,5.692,1.107,1.352,2.087,1.76,0.524,4.812,5.38,6.736,5.939,5.462,1.024,5.928,5.107,5.209,5.571,4.378,1.867,4.425,4.698,6.427,8.913,9.876,12.34,1.773,1.401,2.936,5.064,6.311,6.311,2.263,5.833,6.615,7.273,2.327,3.091,6.643,3.017,2.844,3.628,2.51,4.522,1.68,6.875,1.442,6.557,6.616,1.833,3.016,6.048,5.197,5.159,2.202,2.163,2.543,1.974,2.663,6.117,3.262,3.786,6.216,4.441,3.888,6.271,2.573,0.902,,2.699,5.686,2.63,3.914,1.083,5.689,6.036,1.897,2.347,5.497,3.665,12.112,13.458,10.527,3.618,3.112,3.018,4.36,3.871,6.406,2.408,4.497,0.526,7.011,2.926,4.981,3.039,1.324,2.177,2.32,2.988,3.027,3.63
Newington and Dalkeith Road,1.926,7.807,12.127,4.734,8.727,3.879,1.205,5.862,6.765,3.8,5.046,6.609,3.146,2.909,2.221,1.044,2.865,6.087,7.445,7.048,5.651,4.724,3.52,4.696,6.683,7.071,6.824,3.402,4.378,4.456,2.172,8.829,9.162,10.194,14.289,2.749,3.134,5.436,3.215,8.297,8.072,2.662,4.141,3.917,4.628,3.31,3.955,4.138,5.713,5.521,6.286,3.779,3.715,2.306,4.219,4.013,4.4,4.867,2.713,3.389,3.397,2.677,5.713,0.902,1.468,2.302,0.813,2.453,3.42,2.295,3.148,3.869,3.04,6.427,6.801,4.455,2.482,2.699,,3.311,4.453,2.592,1.634,4.705,6.759,3.196,2.973,4.089,0.979,14.453,15.792,11.963,2.983,3.012,3.506,6.794,4.45,7.829,3.231,5.469,3.205,7.716,0.92,2.314,4.127,1.978,4.693,4.432,5.632,4.596,2.229
Niddrie,3.814,10.658,14.781,8.039,12.016,1.171,3.405,9.114,9.376,5.914,7.855,9.777,5.648,5.234,5.507,3.957,5.64,9.352,10.747,9.959,8.34,7.231,6.649,6.784,9.981,10.381,10.071,2.895,7.52,7.441,1.187,12.056,11.939,12.974,17.598,6.06,6.412,8.596,1.388,11.607,11.378,4.323,5.837,2.433,3.696,6.611,7.218,4.114,8.528,8.252,9.294,5.458,6.365,4.464,3.342,6.688,1.227,2.226,4.711,4.481,2.961,3.372,8.802,4.202,4.743,3.743,4.1,5.64,2.371,5.226,6.023,4.458,2.228,9.566,9.823,7.754,5.096,5.686,3.311,,6.363,2.427,4.638,7.02,9.858,5.187,6.257,2.384,2.481,17.715,19.058,15.194,3.305,3.91,6.728,9.997,7.624,11.094,4.831,8.69,6.212,10.773,3.889,2.583,5.496,5.27,7.217,6.603,8.667,6.236,2.447
North Leith and Newhaven,2.719,10.058,14.398,5.607,7.791,6.045,5.633,5.093,9.626,0.691,2.519,8.063,1.551,1.579,4.686,3.44,2.116,7.07,6.924,9.266,8.564,8.079,3.123,8.485,7.15,6.997,7.786,3.925,3.484,7.044,5.756,7.308,11.419,12.348,13.645,4.397,3.924,4.182,5.246,7.863,8.101,2.064,8.266,8.035,8.963,4.913,5.641,8.583,2.985,2.594,4.088,0.919,7.119,2.168,8.542,1.705,6.816,6.384,1.788,2.004,7.75,7.127,7.675,4.403,4.588,2.641,4.049,5.263,7.617,5.779,6.384,8.313,4.371,4.783,8.755,4.74,2.117,2.63,4.453,6.363,,3.99,3.097,8.283,8.466,1.277,4.971,5.121,5.206,12.813,14.134,12.398,3.21,2.529,5.632,5.436,6.435,8.463,1.533,6.915,2.629,9.413,5.069,6.677,1.134,3.886,1.507,0.548,3.717,0.517,3.917
Northfield and Piershill,1.762,10.367,14.709,6.877,10.45,2.093,3.499,7.496,9.357,3.614,5.773,9.011,3.536,3.081,4.584,2.528,3.697,8.349,9.276,9.596,8.242,7.306,4.938,7.199,8.819,9.045,9.11,0.843,5.77,7.006,2.186,10.311,11.732,12.761,16.233,4.905,5.011,6.822,1.271,10.195,10.122,2.031,6.503,4.497,5.646,5.543,6.283,5.664,6.424,6.106,7.318,3.073,6.304,2.358,5.235,4.585,2.852,2.705,2.486,2.058,4.583,4.424,8.195,3.361,3.919,1.493,3.06,4.948,4.212,4.884,5.735,5.709,0.531,7.731,9.306,6.358,3.123,3.914,2.592,2.427,3.99,,3.066,7.259,9.219,2.902,5.294,1.621,2.502,15.995,17.34,14.22,0.888,1.489,5.918,8.25,6.888,10.057,2.464,7.827,4.401,10.194,3.5,3.696,3.073,4.031,5.007,4.286,6.738,3.823,0.365
"Old Town, Princes Street and Leith Street",1.452,7.681,12.079,3.829,7.457,4.91,2.665,4.516,6.937,2.407,3.414,6.072,1.619,1.527,1.837,0.684,1.244,5.326,6.242,6.884,5.825,5.153,2.011,5.441,5.758,5.984,6.091,3.661,2.882,4.387,3.622,7.428,9.067,10.067,13.188,1.92,1.946,3.958,4.121,7.149,7.056,1.888,5.17,5.546,6.247,2.568,3.344,5.68,4.084,3.887,4.707,2.643,4.149,1.288,5.842,2.389,5.561,5.726,1.644,2.73,5.017,4.22,5.371,1.315,1.52,1.917,0.993,2.367,5.054,2.734,3.434,5.315,3.597,4.93,6.5,3.295,0.982,1.083,1.634,4.638,3.097,3.066,,5.292,6.341,1.983,2.405,4.685,2.589,13.103,14.447,11.171,2.969,2.625,3.088,5.365,4.042,7.011,2.282,4.869,1.604,7.327,2.013,3.94,3.112,1.082,3.088,2.957,4.063,3.364,2.742
Oxgangs,6.436,3.896,7.77,4.31,8.097,8.012,3.816,6.3,2.414,7.6,7.449,4.102,6.732,6.782,3.604,5.265,6.179,4.47,6.83,3.378,1.581,0.505,5.639,0.539,5.338,6.14,4.822,8.09,6.026,1.997,5.934,8.774,5.03,6.044,12.355,4.032,4.687,6.589,7.583,7.273,6.622,7.08,1.545,5.749,5.283,3.761,3.416,4.136,7.913,7.959,7.792,7.933,1.167,6.539,5.154,7.021,8.246,9.108,6.923,7.903,4.71,3.794,3.05,4.162,3.78,6.884,4.548,3.027,5.32,2.568,1.904,3.37,7.655,7.378,3.557,4.94,6.211,5.689,4.705,7.02,8.283,7.259,5.292,,3.855,7.271,3.505,8.618,4.874,13.55,14.78,9.215,7.683,7.631,3.04,7.307,2.908,5.787,7.551,3.694,5.867,4.466,3.786,4.489,8.402,4.397,7.734,8.009,7.229,8.618,6.906
Parkhead and Sighthill,7.789,1.761,5.936,2.87,4.772,10.61,6.465,4.26,2.443,7.909,6.583,0.535,7.102,7.387,4.636,6.724,6.539,1.618,3.759,1.147,2.37,3.369,5.343,4.387,2.203,3.034,1.342,9.93,5.133,2.447,8.674,5.702,3.005,3.886,8.501,4.426,4.635,5.019,9.974,3.84,3.051,8.175,5.353,9.211,8.984,3.783,3,7.86,6.737,6.969,6.086,8.535,3.744,7.556,8.788,6.804,11.047,11.624,7.814,8.992,8.198,7.153,1.057,5.892,5.32,8.257,6.163,4.307,8.717,4.633,3.868,7.094,9.72,5.352,0.497,3.772,6.89,6.036,6.759,9.858,8.466,9.219,6.341,3.855,,7.933,3.951,10.805,7.399,9.821,11.007,5.475,9.293,8.96,3.302,4.956,2.331,2.038,8.426,1.551,5.868,0.985,5.999,7.654,9.066,5.268,7.321,8.005,5.776,8.939,8.859
Pilrig,1.451,9.417,13.806,5.164,8.008,4.994,4.389,5.124,8.816,0.727,2.96,7.586,0.901,0.547,3.742,2.21,1.405,6.685,6.98,8.617,7.721,7.116,2.733,7.424,6.917,6.918,7.436,3.034,3.373,6.235,4.509,7.695,10.798,11.768,13.878,3.607,3.298,4.302,4.173,7.927,8.033,0.874,7.119,6.767,7.686,4.203,4.977,7.315,3.578,3.236,4.558,0.663,6.121,0.895,7.265,1.804,5.754,5.48,0.512,1.257,6.473,5.863,7.048,3.237,3.503,1.447,2.864,4.303,6.343,4.717,5.398,7.065,3.35,5.097,8.164,4.393,1.092,1.897,3.196,5.187,1.277,2.902,1.983,7.271,7.933,,4.168,4.244,3.929,13.332,14.67,12.303,2.254,1.589,4.856,5.69,5.747,8.229,0.591,6.394,2.145,8.908,3.865,5.4,1.164,2.935,2.114,1.417,4.043,1.412,2.765
Polwarth,3.843,5.286,9.685,1.808,5.981,6.843,3.115,3.377,4.665,4.322,3.952,3.718,3.451,3.628,0.752,2.779,2.869,3.116,4.654,4.487,3.593,3.203,2.135,3.839,3.726,4.187,3.859,5.984,2.583,2.079,5.085,6.286,6.672,7.666,11.359,0.575,1.182,3.341,6.143,5.437,5.134,4.274,4.037,6.286,6.539,0.416,0.995,5.627,4.448,4.466,4.489,4.814,2.37,3.659,6.21,3.554,7.371,7.798,3.96,5.109,5.436,4.388,2.966,2.071,1.514,4.314,2.27,0.819,5.754,1.613,1.681,5.004,5.806,4.269,4.095,1.836,3.08,2.347,2.973,6.257,4.971,5.294,2.405,3.505,3.951,4.168,,6.898,3.794,11.738,13.059,8.998,5.342,5.03,0.692,4.413,1.638,4.856,4.593,2.535,2.411,4.934,2.432,4.554,5.331,1.324,4.249,4.623,3.87,5.373,4.939
Portobello,3.334,11.896,16.202,8.497,12.028,1.347,4.802,9.077,10.813,4.9,7.197,10.612,4.998,4.534,6.178,4.145,5.236,9.967,10.874,11.136,9.712,8.717,6.521,8.495,10.439,10.659,10.727,1.213,7.334,8.544,2.9,11.844,13.248,14.281,17.834,6.522,6.63,8.369,1.123,11.798,11.739,3.43,7.689,4.812,6.068,7.158,7.89,6.377,7.822,7.477,8.78,4.224,7.742,3.875,5.701,6.021,2.017,1.263,3.916,3.125,5.225,5.376,9.771,4.919,5.487,2.984,4.644,6.511,4.697,6.371,7.224,6.598,1.095,9.25,10.874,7.973,4.667,5.497,4.089,2.384,5.121,1.621,4.685,8.618,10.805,4.244,6.898,,3.745,17.518,18.861,15.84,1.992,2.661,7.51,9.794,8.476,11.677,3.709,9.433,5.967,11.774,4.957,4.579,4.044,5.649,6.345,5.518,8.229,4.827,1.963
Prestonfield,2.522,8.291,12.521,5.592,9.656,3.241,1.059,6.818,7.112,4.589,6.002,7.302,4.018,3.727,3.051,1.948,3.795,6.875,8.361,7.564,6.03,4.992,4.5,4.756,7.52,7.955,7.591,3.344,5.356,5.006,1.296,9.789,9.61,10.648,15.152,3.647,4.085,6.412,2.719,9.194,8.927,3.255,4.007,2.961,3.765,4.163,4.743,3.43,6.673,6.468,7.264,4.445,4.044,3.04,3.346,4.939,3.649,4.304,3.422,3.852,2.545,2.033,6.343,1.782,2.289,2.775,1.782,3.16,2.481,2.782,3.609,3.313,2.822,7.403,7.387,5.382,3.364,3.665,0.979,2.481,5.206,2.502,2.589,4.874,7.399,3.929,3.794,3.745,,15.395,16.731,12.714,3.144,3.376,4.248,7.761,5.146,8.616,3.845,6.209,4.177,8.328,1.409,1.473,4.717,2.929,5.596,5.251,6.61,5.28,2.188
Queensferry East,14.234,10.788,11.852,9.964,5.758,17.987,14.847,8.602,12.146,12.771,10.392,9.476,12.525,12.988,12.421,13.771,12.298,9.15,7.086,10.724,12.177,13.046,11.104,14.089,8.302,7.622,8.728,16.331,10.245,11.706,16.621,5.686,10.935,10.85,3.21,11.765,11.32,9.179,17.175,6.381,6.938,14.096,14.919,18.023,18.181,11.33,10.964,17.16,9.838,10.222,8.782,13.541,13.068,13.651,17.888,11.527,18.66,18.696,13.608,14.563,17.146,16.079,10.501,13.615,13.15,14.539,13.643,12.522,17.491,13.237,12.82,16.443,16.511,8.269,10.242,10.017,12.873,12.112,14.453,17.715,12.813,15.995,13.103,13.55,9.821,13.332,11.738,17.518,15.395,,1.346,6.239,15.542,14.91,11.526,7.752,10.974,7.795,13.909,9.951,11.606,9.605,14.133,16.292,13.927,12.475,11.349,12.294,9.295,13.281,15.732
Queensferry West,15.579,11.876,12.581,11.278,7.084,19.332,16.171,9.944,13.285,14.104,11.726,10.687,13.866,14.33,13.748,15.115,13.643,10.417,8.406,11.865,13.374,14.277,12.45,15.319,9.579,8.922,9.962,17.672,11.591,12.967,17.961,7.032,11.918,11.745,3.55,13.097,12.659,10.524,18.521,7.674,8.193,15.437,16.172,19.342,19.479,12.654,12.271,18.448,11.165,11.547,10.117,14.872,14.336,14.995,19.192,12.866,20.005,20.041,14.95,15.899,18.456,17.387,11.731,14.95,14.48,15.883,14.982,13.838,18.81,14.545,14.109,17.725,17.855,9.613,11.411,11.351,14.218,13.458,15.792,19.058,14.134,17.34,14.447,14.78,11.007,14.67,13.059,18.861,16.731,1.346,,6.998,16.884,16.25,12.833,9.098,12.255,9.001,15.246,11.218,12.951,10.727,15.461,17.613,15.252,13.813,12.677,13.619,10.636,14.599,17.077
"Ratho, Ingliston and Gogar",12.594,5.56,5.614,7.345,5.072,15.84,11.849,7.308,7.149,12.029,9.975,5.447,11.403,11.799,9.746,11.697,10.938,5.886,5.521,5.866,7.641,8.762,9.579,9.722,5.426,5.407,5.14,14.827,8.966,7.903,14.008,6.083,5.179,4.818,3.644,9.324,9.241,8.232,15.138,4.632,4.298,12.791,10.753,14.683,14.441,8.699,8.009,13.307,9.759,10.125,8.695,12.78,9.218,12.2,14.256,10.723,16.347,16.791,12.349,13.517,13.672,12.625,6.494,11.063,10.496,13.026,11.263,9.555,14.186,10.016,9.306,12.538,14.745,7.846,5.676,7.955,11.429,10.527,11.963,15.194,12.398,14.22,11.171,9.215,5.475,12.303,8.998,15.84,12.714,6.239,6.998,,14.106,13.639,8.471,7.177,7.575,4.163,12.874,6.506,10.171,4.749,11.306,13.103,13.289,10.194,10.955,11.86,8.809,12.915,13.879
